DATA,PREÇO,PREÇO_DOLAR
01/01/16,30,"4,0245"
08/01/16,54,"4,0479"
15/01/16,62,"4,0945"
22/01/16,56,"3,9988"
29/01/16,64,"3,9035"
05/02/16,50,"4,0027"
12/02/16,56,"4,0214"
19/02/16,60,"3,9933"
26/02/16,60,"3,7593"
04/03/16,60,"3,582"
11/03/16,56,"3,624"
18/03/16,50,"3,6835"
25/03/16,50,"3,5538"
01/04/16,46,"3,5901"
08/04/16,46,"3,5332"
15/04/16,44,"3,5646"
22/04/16,46,"3,4358"
29/04/16,50,"3,5023"
06/05/16,62,"3,534"
13/05/16,46,"3,5202"
20/05/16,50,"3,6115"
27/05/16,42,"3,524"
03/06/16,38,"3,4188"
10/06/16,26,"3,4163"
17/06/16,26,"3,3739"
24/06/16,25,"3,2361"
01/07/16,14,"3,3005"
08/07/16,12,"3,282"
15/07/16,16,"3,2565"
22/07/16,10,"3,2486"
29/07/16,13,"3,166"
05/08/16,12,"3,1925"
12/08/16,12,"3,2038"
19/08/16,18,"3,2655"
26/08/16,11,"3,2568"
02/09/16,12,"3,2735"
09/09/16,14,"3,2622"
16/09/16,16,"3,245"
23/09/16,13,"3,2603"
30/09/16,10,"3,2204"
07/10/16,7,"3,2051"
14/10/16,6,"3,1511"
21/10/16,6,"3,2065"
28/10/16,"5,5","3,2337"
04/11/16,5,"3,3915"
11/11/16,8,"3,3835"
18/11/16,16,"3,4223"
25/11/16,18,"3,4755"
02/12/16,18,"3,3785"
09/12/16,16,"3,392"
16/12/16,18,"3,271"
23/12/16,18,"3,2547"
30/12/16,18,"3,2241"
06/01/17,20,"3,2213"
13/01/17,26,"3,169"
20/01/17,18,"3,141"
27/01/17,18,"3,1176"
03/02/17,26,"3,1157"
10/02/17,30,"3,1048"
17/02/17,30,"3,111"
24/02/17,26,"3,1158"
03/03/17,24,"3,1395"
10/03/17,26,"3,0918"
17/03/17,26,"3,1086"
24/03/17,24,"3,1233"
31/03/17,20,"3,1462"
07/04/17,24,"3,1448"
14/04/17,20,"3,1482"
21/04/17,22,"3,1766"
28/04/17,26,"3,1774"
05/05/17,28,"3,1218"
12/05/17,18,"3,2529"
19/05/17,18,"3,2601"
26/05/17,16,"3,2483"
02/06/17,16,"3,2971"
09/06/17,18,"3,2933"
16/06/17,18,"3,343"
23/06/17,18,"3,3072"
30/06/17,18,"3,2813"
07/07/17,32,"3,1799"
14/07/17,38,"3,1418"
21/07/17,25,"3,1319"
28/07/17,28,"3,1313"
04/08/17,26,"3,1938"
11/08/17,26,"3,1465"
18/08/17,26,"3,1603"
25/08/17,22,"3,1416"
01/09/17,26,"3,0867"
08/09/17,21,"3,1085"
15/09/17,25,"3,125"
22/09/17,25,"3,1619"
29/09/17,26,"3,1561"
06/10/17,22,"3,1452"
13/10/17,23,"3,1926"
20/10/17,26,"3,2363"
27/10/17,24,"3,3144"
03/11/17,20,"3,2779"
10/11/17,20,"3,2574"
17/11/17,18,"3,233"
24/11/17,14,"3,2581"
01/12/17,14,"3,2919"
08/12/17,12,"3,2947"
15/12/17,16,"3,337"
22/12/17,16,"3,3125"
29/12/17,16,"3,2292"
05/01/18,20,"3,2064"
12/01/18,28,"3,1962"
19/01/18,26,"3,151"
26/01/18,26,"3,2181"
02/02/18,28,"3,2942"
09/02/18,28,"3,2312"
16/02/18,"48,6","3,2379"
23/02/18,36,"3,2528"
02/03/18,26,"3,2553"
09/03/18,24,"3,2811"
16/03/18,33,"3,3123"
23/03/18,33,"3,3051"
30/03/18,36,"3,3697"
06/04/18,36,"3,4223"
13/04/18,46,"3,413"
20/04/18,50,"3,4568"
27/04/18,72,"3,5303"
04/05/18,74,"3,5999"
11/05/18,58,"3,737"
18/05/18,62,"3,6524"
25/05/18,43,"3,7633"
01/06/18,48,"3,7094"
08/06/18,48,"3,7296"
15/06/18,44,"3,786"
22/06/18,34,"3,8771"
29/06/18,28,"3,8628"
06/07/18,26,"3,8518"
13/07/18,20,"3,7681"
20/07/18,14,"3,7114"
27/07/18,14,"3,708"
03/08/18,16,"3,8596"
10/08/18,14,"3,9116"
17/08/18,14,"4,102"
24/08/18,12,"4,0556"
31/08/18,12,"4,0597"
07/09/18,10,"4,1742"
14/09/18,10,"4,0516"
21/09/18,10,"4,0491"
28/09/18,8,"3,8413"
05/10/18,8,"3,783"
12/10/18,10,"3,7149"
19/10/18,10,"3,6429"
26/10/18,18,"3,6968"
02/11/18,15,"3,7335"
09/11/18,18,"3,7435"
16/11/18,30,"3,8283"
23/11/18,38,"3,8669"
30/11/18,38,"3,9075"
07/12/18,50,"3,9171"
14/12/18,64,"3,904"
21/12/18,54,"3,8813"
28/12/18,50,"3,7155"
11/01/19,56,"3,7113"
18/01/19,54,"3,7517"
25/01/19,54,"3,7708"
01/02/19,50,"3,6597"
08/02/19,50,"3,7292"
15/02/19,40,"3,7008"
22/02/19,40,"3,7485"
01/03/19,40,"3,7752"
08/03/19,34,"3,8668"
15/03/19,42,"3,8144"
22/03/19,42,"3,9071"
29/03/19,42,"3,9247"
05/04/19,50,"3,8735"
12/04/19,50,"3,8819"
19/04/19,40,"3,9275"
26/04/19,30,"3,9293"
03/05/19,25,"3,9382"
10/05/19,20,"3,9572"
17/05/19,40,"4,0999"
24/05/19,34,"4,0225"
31/05/19,34,"3,9228"
07/06/19,40,"3,8789"
14/06/19,50,"3,8958"
21/06/19,48,"3,8192"
28/06/19,58,"3,852"
05/07/19,78,"3,8221"
12/07/19,74,"3,7373"
19/07/19,70,"3,7494"
26/07/19,70,"3,7761"
02/08/19,78,"3,8893"
09/08/19,84,"3,9416"
16/08/19,80,"4,0058"
23/08/19,60,"4,1198"
30/08/19,70,"4,1453"
06/09/19,68,"4,0618"
13/09/19,62,"4,0849"
20/09/19,62,"4,148"
27/09/19,34,"4,1602"
04/10/19,54,"4,0556"
11/10/19,32,"4,1097"
18/10/19,30,"4,1117"
25/10/19,26,"4,0038"
01/11/19,26,"3,9903"
08/11/19,20,"4,1635"
15/11/19,30,"4,1962"
22/11/19,25,"4,1966"
29/11/19,20,"4,2367"
06/12/19,20,"4,1414"
13/12/19,18,"4,1082"
20/12/19,16,"4,1025"
27/12/19,18,"4,046"
03/01/20,18,"4,0672"
10/01/20,24,"4,0963"
17/01/20,20,"4,162"
24/01/20,18,"4,1817"
31/01/20,22,"4,2824"
07/02/20,22,"4,3206"
14/02/20,20,"4,2976"
21/02/20,20,"4,3898"
28/02/20,22,"4,4736"
06/03/20,34,"4,6272"
13/03/20,42,"4,8595"
20/03/20,38,"5,064"
27/03/20,40,"5,1005"
03/04/20,42,"5,3509"
10/04/20,60,"5,1068"
17/04/20,70,"5,2373"
24/04/20,80,"5,5915"
01/05/20,80,"5,4861"
08/05/20,80,"5,7329"
15/05/20,85,"5,857"
22/05/20,95,"5,534"
29/05/20,92,"5,337"
05/06/20,90,"4,9592"
12/06/20,80,"5,0518"
19/06/20,75,"5,3122"
26/06/20,65,"5,4858"
03/07/20,70,"5,3161"
10/07/20,74,"5,324"
17/07/20,70,"5,3864"
24/07/20,54,"5,2334"
31/07/20,55,"5,224"
07/08/20,44,"5,4383"
14/08/20,40,"5,4204"
21/08/20,30,"5,6192"
28/08/20,20,"5,3881"
04/09/20,18,"5,3012"
11/09/20,30,"5,3189"
18/09/20,22,"5,3876"
25/09/20,30,"5,5624"
02/10/20,30,"5,6851"
09/10/20,20,"5,5318"
16/10/20,20,"5,6428"
23/10/20,20,"5,6175"
30/10/20,18,"5,7446"
06/11/20,22,"5,3647"
13/11/20,34,"5,4582"
20/11/20,30,"5,3797"
27/11/20,22,"5,3438"
04/12/20,"23,5","5,1557"
11/12/20,25,"5,0656"
18/12/20,28,"5,1022"
25/12/20,24,"5,2165"
01/01/21,34,"5,1937"
08/01/21,40,"5,4178"
15/01/21,50,"5,2927"
22/01/21,40,"5,4666"
29/01/21,40,"5,4625"
05/02/21,60,"5,3704"
12/02/21,62,"5,3698"
19/02/21,68,"5,3823"
26/02/21,64,"5,5986"
05/03/21,60,"5,6908"
12/03/21,64,"5,5518"
19/03/21,60,"5,4917"
26/03/21,54,"5,7566"
02/04/21,60,"5,7075"
09/04/21,60,"5,6821"
16/04/21,54,"5,5883"
23/04/21,44,"5,4751"
30/04/21,50,"5,4366"
07/05/21,40,"5,2368"
14/05/21,34,"5,2728"
21/05/21,30,"5,3617"
28/05/21,24,"5,2244"
